Character,Relation,Concept,Count
Polokov,strugglesWith,Cyborg_Theory,4
Polokov,strugglesWith,Cybernetic_Enhancement,2
Polokov,strugglesWith,PostAnthropocentrism,2
Polokov,strugglesWith,Animal_Ethics,2
Polokov,linkedTo,CriticismPlaceholder,20
Polokov,questions,Cyborg_Theory,16
Polokov,questions,Animal_Ethics,3
Polokov,questions,Critical_Posthumanism,1
Polokovbetter,linkedTo,CriticismPlaceholder,1
Polokovbetter,questions,Cyborg_Theory,1
Pris,linkedTo,CriticismPlaceholder,19
Pris,questions,Cyborg_Theory,8
Pris,questions,Critical_Posthumanism,5
Pris,questions,Animal_Ethics,3
Pris,questions,Feminist_Ethics,2
Pris,questions,PostAnthropocentrism,1
Pris_Stratton,strugglesWith,Feminist_Ethics,1
Pris_Stratton,linkedTo,CriticismPlaceholder,3
Pris_Stratton,questions,Critical_Posthumanism,2
Pris_Stratton,questions,Cyborg_Theory,1
Rachael,strugglesWith,Cyborg_Theory,5
Rachael,strugglesWith,Animal_Ethics,5
Rachael,strugglesWith,Cybernetic_Enhancement,1
Rachael,linkedTo,CriticismPlaceholder,20
Rachael,questions,Cyborg_Theory,11
Rachael,questions,Animal_Ethics,5
Rachael,questions,Critical_Posthumanism,3
Rachael,questions,Cybernetic_Enhancement,1
Rachael_Rosen,linkedTo,CriticismPlaceholder,4
Rachael_Rosen,questions,Cyborg_Theory,3
Rachael_Rosen,questions,Animal_Ethics,1
Rachael_RosenRachael,strugglesWith,Cyborg_Theory,1
Rachael_Rosens,strugglesWith,Cyborg_Theory,1
Rachael_Rosens,linkedTo,CriticismPlaceholder,1
Rachael_Rosens,questions,Cyborg_Theory,1
Resch,strugglesWith,Animal_Ethics,2
Resch,strugglesWith,Cyborg_Theory,2
Resch,linkedTo,CriticismPlaceholder,2
Resch,questions,Animal_Ethics,2
Rick,strugglesWith,Cyborg_Theory,19
Rick,strugglesWith,Animal_Ethics,9
Rick,linkedTo,CriticismPlaceholder,54
Rick,questions,Cyborg_Theory,29
Rick,questions,Animal_Ethics,13
Rick,questions,Critical_Posthumanism,6
Rick,questions,Feminist_Ethics,5
Rick,questions,Posthuman_Ethics,1
Rick_Deckard,strugglesWith,Animal_Ethics,1
Rick_Deckard,linkedTo,CriticismPlaceholder,3
Rick_Deckard,questions,Animal_Ethics,1
Rick_Deckard,questions,Critical_Posthumanism,1
Rick_Deckard,questions,Cyborg_Theory,1
Rosen,strugglesWith,Cyborg_Theory,1
Rosen,linkedTo,CriticismPlaceholder,1
Rosen,questions,Cyborg_Theory,1
Rosens,linkedTo,CriticismPlaceholder,1
Rosens,questions,Critical_Posthumanism,1
Roy,linkedTo,CriticismPlaceholder,9
Roy,questions,Cyborg_Theory,4
Roy,questions,Feminist_Ethics,3
Roy,questions,PostAnthropocentrism,1
Roy,questions,Cybernetic_Enhancement,1
Roy_Baty,strugglesWith,Cyborg_Theory,4
Roy_Baty,strugglesWith,Feminist_Ethics,1
Roy_Baty,linkedTo,CriticismPlaceholder,11
Roy_Baty,questions,Cyborg_Theory,10
Roy_Baty,questions,Animal_Ethics,1
Salander,linkedTo,CriticismPlaceholder,1
Salander,questions,Cyborg_Theory,1
Salander_3,strugglesWith,Animal_Ethics,1
Santa_Claus,strugglesWith,PostAnthropocentrism,1
Siddons,linkedTo,CriticismPlaceholder,1
Siddons,questions,Animal_Ethics,1
Sidney,linkedTo,CriticismPlaceholder,7
Sidney,questions,Animal_Ethics,4
Sidney,questions,Critical_Posthumanism,2
Sidney,questions,Cyborg_Theory,1
Sloat,linkedTo,CriticismPlaceholder,9
Sloat,questions,Animal_Ethics,5
Sloat,questions,Cyborg_Theory,4
Suspends,strugglesWith,Cyborg_Theory,1
Titus_Corning,linkedTo,CriticismPlaceholder,1
Titus_Corning,questions,Critical_Posthumanism,1
Voigt,strugglesWith,Animal_Ethics,1
Voigt,linkedTo,CriticismPlaceholder,3
Voigt,questions,Cyborg_Theory,1
Voigt,questions,Cybernetic_Enhancement,1
Voigt,questions,Animal_Ethics,1
W4,linkedTo,CriticismPlaceholder,1
W4,questions,Cyborg_Theory,1
Wade_Cortot,linkedTo,CriticismPlaceholder,1
Wade_Cortot,questions,Cyborg_Theory,1
Wilbur_Mercer,linkedTo,CriticismPlaceholder,9
Wilbur_Mercer,questions,Cyborg_Theory,5
Wilbur_Mercer,questions,Critical_Posthumanism,3
Wilbur_Mercer,questions,Animal_Ethics,1
Wild,linkedTo,CriticismPlaceholder,1
Wild,questions,Cyborg_Theory,1
Zip_click_zip,linkedTo,CriticismPlaceholder,1
Zip_click_zip,questions,Critical_Posthumanism,1
the_Sol_System,linkedTo,CriticismPlaceholder,2
the_Sol_System,questions,Feminist_Ethics,1
the_Sol_System,questions,Critical_Posthumanism,1
vid,linkedTo,CriticismPlaceholder,1
vid,questions,Cyborg_Theory,1
vita_incerta,linkedTo,CriticismPlaceholder,1
vita_incerta,questions,Cyborg_Theory,1
ya,linkedTo,CriticismPlaceholder,1
ya,questions,PostAnthropocentrism,1
yearninghe,strugglesWith,Cyborg_Theory,1
